KODAS;PAVADINIMAS;GALIOJA;SUMINE;SUKURIMO_DATA;MODIFIKAVIMO_DATA
4000890;"Vilniaus Simono Daukanto vidurinės mokyklos pastato Vilniuje, J. Jasinskio g. 11, rekonstravimas";Y;N;11-FEB-10;11-FEB-10
4000891;"Vilniaus Mykolo Biržiškos gimnazijos pastato Vilniuje, Taikos g. 81, rekonstravimas";Y;N;11-FEB-10;11-FEB-10
4000892;"Vilniaus Karoliniškių gimnazijos pastato Vilniuje, Sausio 13-osios g. 17, rekonstravimas (ES)";Y;N;11-FEB-10;11-FEB-10
4000893;"Energijos efektyvumo didinimas Vilniaus „Minties“ gimnazijoje";Y;N;11-FEB-10;11-FEB-10
4000894;"Vilniaus Senamiesčio vidurinės mokyklos pastato  renovacija";Y;N;11-FEB-10;11-FEB-10
4000895;"Energijos vartojimo efektyvumo didinimas Vilniaus Žemynos gimnazijoje (ES)";Y;N;11-FEB-10;11-FEB-10
4000896;"Vilniaus „Spindulio“ pagrindinės mokyklos pastato Vilniuje, R. Jankausko g. 17, renovacija";Y;N;11-FEB-10;11-FEB-10
4000897;"Vilniaus Gabijos gimnazijos pastato Vilniuje, Pašilaičių g. 13, renovacija";Y;N;11-FEB-10;11-FEB-10
4000898;"Vilniaus „Ąžuolyno“ pagrindinės mokyklos pastato Vilniuje, Architektų g. 68, energijos vartojimo efektyvumo didinimas";Y;N;11-FEB-10;11-FEB-10
4000899;"Energijos vartojimo efektyvumo didinimas Vilniaus Liepkalnio pagrindinėje mokykloje";Y;N;11-FEB-10;11-FEB-10
4000900;"Energijos vartojimo efektyvumo didinimas Vilniaus Salomėjos Nėries gimnazijoje";Y;N;01-APR-09;28-SEP-10
4000901;"Energijos vartojimo efektyvumo didinimas Vilniaus Joachimo Lelevelio vidurinėje mokykloje";Y;N;01-APR-09;28-SEP-10
4000902;"Energijos vartojimo efektyvumo didinimas Vilniaus Jeruzalės vidurinėje mokykloje";Y;N;01-APR-09;28-SEP-10
4000903;"Vilniaus miesto A. Vienuolio pagrindinės mokyklos pastato renovacija";Y;N;01-APR-09;28-SEP-10
4000904;"Vilniaus miesto S. Kovalevskajos vidurinės mokyklos pastato renovacija";Y;N;01-APR-09;28-SEP-10
4000905;"Vilniaus vaikų invalidų ugdymo centro „Viltis“ infrastruktūros plėtra ir modernizavimas (skolintos lėšos)";Y;N;01-APR-09;01-APR-09
4000906;"Vilniaus specialiojo lopšelio-darželio „Čiauškutis“ ugdomosios aplinkos modernizavimas";Y;N;08-FEB-10;08-FEB-10
4000907;"Vilniaus „Žilvinėlio“ lopšelio-darželio ugdomosios aplinkos modernizavimas";Y;N;17-FEB-10;17-FEB-10
4000908;"Darželio vidaus patalpų modernizavimas ir įrangos atnaujinimas (Vilniaus lopšelis-darželis „Strazdelis“)";Y;N;17-FEB-10;17-FEB-10
4000909;"Vilniaus lopšelio-darželio „Daigelis“ modernizavimas ir pritaikymas įvairius poreikius turinčių vaikų ugdymui ir visuomenės švietimui";Y;N;17-FEB-10;17-FEB-10
4000910;"Vilniaus lopšelio-darželio „Beržynėlis“ patalpų ir įrangos atnaujinimas";Y;N;17-FEB-10;17-FEB-10
4000911;"Vilniaus lopšelio-darželio „Vaidilutė“ patalpų ir įrangos atnaujinimas";Y;N;17-FEB-10;17-FEB-10
4000912;"Vilnaus lopšelio-darželio „Krivūlė“ modernizavimas";Y;N;17-FEB-10;17-FEB-10
4000913;"Vilniaus lopšelio-darželio „Pelėda“ metodinės ir ugdomosios aplinkos atnaujinimas";Y;N;17-FEB-10;17-FEB-10
4000914;"Vilniaus lopšelio-darželio „Coliukė“ vidaus aplinkos modernizavimas ir pritaikymas įvairių ugdymo(si) poreikių vaikams nuo gimimo iki 7 metų";Y;N;17-FEB-10;17-FEB-10
4000915;"Ikimokyklinio ugdymo įstaigos Vilniaus lopšelio-darželio „Vieversys“ modernizavimas";Y;N;17-FEB-10;17-FEB-10
4000916;"Vilniaus lopšelio-darželio „Gėlynas“ ugdymo patalpų modernizavimas";Y;N;17-FEB-10;17-FEB-10
4000917;"Vilniaus lopšelio-darželio „Pumpurėlis“ ikimokyklinio ir priešmokyklinio ugdymo aplinkos gerinimas";Y;N;17-FEB-10;17-FEB-10
4000918;"Ikimokyklinio ugdymo įstaigos Vilniaus lopšelio-darželio „Atžalėlės“ modernizavimas";Y;N;17-FEB-10;17-FEB-10
4000919;"Vilniaus lopšelio-darželio „Medynėlis“ patalpų modernizavimas";Y;N;17-FEB-10;17-FEB-10
4000920;"Ikimokyklinio ugdymo ir priešmokyklinio ugdymo grupų erdvių modernizavimas  lopšelyje-darželyje „Aušrelė“";Y;N;17-FEB-10;17-FEB-10
4000921;"Lopšelio-darželio „Švelnukas“ erdvių renovavimas ir grupių įrangos modernizavimas";Y;N;17-FEB-10;17-FEB-10
4000922;"Vilniaus Mykolo Biržiškos gimnazijos pastato Vilniuje, Taikos g. 81, rekonstravimas";Y;N;17-FEB-10;17-FEB-10
4000923;"Vilniaus Karoliniškių gimnazijos pastato Vilniuje, Sausio 13-osios g. 17, rekonstravimas (ES)";Y;N;30-SEP-10;30-SEP-10
4000924;"Energijos vartojimo efektyvumo didinimas Vilniaus Žemynos gimnazijoje (ES)";Y;N;30-SEP-10;30-SEP-10
4000925;"Vilniaus Simono Stanevičiaus vidurinės mokyklos pastato renovacija";Y;N;30-SEP-10;30-SEP-10
4000926;"Energijos vartojimo efektyvumo didinimas Vilniaus Baltupių progimnazijoje (Skolintos lėšos) (buvusi Baltupių vidurinė mokykla)";Y;N;30-SEP-10;22-FEB-12
4000927;"Energijos vartojimo efektyvumo didinimas Vilniaus Grigiškių vidurinėje mokykloje";Y;N;01-OCT-10;01-OCT-10
4000928;"Vilniaus „Spindulio“ pagrindinės mokyklos pastato Vilniuje, R. Jankausko g. 17, renovacija";Y;N;01-OCT-10;01-OCT-10
4000929;"Energijos efektyvumo didinimas Vilniaus „Minties“ gimnazijoje";Y;N;01-OCT-10;01-OCT-10
4000930;"Vilniaus Karoliniškių gimnazijos pastato Vilniuje, Sausio 13-osios g. 17, rekonstravimas (ES)";Y;N;03-MAR-10;03-MAR-10
4000931;"Energijos vartojimo efektyvumo didinimas Vilniaus Žemynos gimnazijoje (ES)";Y;N;03-MAR-10;03-MAR-10
4000932;"Energijos vartojimo efektyvumo didinimas Vilniaus Salomėjos Nėries gimnazijoje";Y;N;03-MAR-10;03-MAR-10
4000933;"Energijos vartojimo efektyvumo didinimas Vilniaus Jeruzalės vidurinėje mokykloje";Y;N;03-MAR-10;03-MAR-10
4000934;"Vilniaus miesto A. Vienuolio pagrindinės mokyklos pastato renovacija";Y;N;03-MAR-10;03-MAR-10
4000935;"Vilniaus miesto S. Kovalevskajos vidurinės mokyklos pastato renovacija";Y;N;03-MAR-10;03-MAR-10
4000936;"Vilniaus vaikų invalidų ugdymo centro „Viltis“ infrastruktūros plėtra ir modernizavimas";Y;N;03-MAR-10;03-MAR-10
4000937;"Energijos vartojimo efektyvumo didinimas Lazdynų vidurinėje mokykloje";Y;N;03-MAR-10;03-MAR-10
4000938;"Vilniaus Simono Stanevičiaus vidurinės mokyklos pastato renovacija";Y;N;03-MAR-10;03-MAR-10
4000939;"Energijos vartojimo efektyvumo didinimas Vilniaus Grigiškių vidurinėje mokykloje";Y;N;03-MAR-10;03-MAR-10
4000940;"Vilniaus specialiojo lopšelio-darželio „Čiauškutis“ ugdomosios aplinkos modernizavimas";Y;N;03-MAR-10;03-MAR-10
4000941;"Vilniaus „Žilvinėlio“ lopšelio-darželio ugdomos ios aplinkos modernizavimas";Y;N;03-MAR-10;03-MAR-10
4000942;"Darželio vidaus patalpų modernizavimas ir įrangos atnaujinimas (Vilniaus lopšelis-darželis „Strazdelis“)";Y;N;03-MAR-10;03-MAR-10
4000943;"Vilniaus lopšelio-darželio „Daigelis“ modernizavimas ir pritaikymas įvairius poreikius turinčių vaikų ugdymui ir visuomenės švietimui";Y;N;03-MAR-10;03-MAR-10
4000944;"Vilniaus lopšelio-darželio „Beržynėlis“ patalpų ir įrangos atnaujinimas";Y;N;03-MAR-10;03-MAR-10
4000945;"Vilniaus lopšelio-darželio „Vaidilutė“ patalpų ir įrangos atnaujinimas";Y;N;03-MAR-10;03-MAR-10
4000946;"Vilnaus lopšelio-darželio „Krivūlė“ modernizavimas";Y;N;03-MAR-10;03-MAR-10
4000947;"Vilniaus lopšelio-darželio „Pelėda“ metodinės ir ugdomosios aplinkos atnaujinimas";Y;N;03-MAR-10;03-MAR-10
4000948;"Vilniaus lopšelio-darželio „Coliukė“ vidaus aplinkos modernizavimas ir pritaikymas įvairių ugdymo(si) poreikių vaikams nuo gimimo iki 7 metų";Y;N;03-MAR-10;03-MAR-10
4000949;"Ikimokyklinio ugdymo įstaigos Vilniaus lopšelio-darželio „Vieversys“ modernizavimas";Y;N;03-MAR-10;03-MAR-10
4000950;"Vilniaus lopšelio-darželio „Gėlynas“ ugdymo patalpų modernizavimas";Y;N;04-MAR-10;04-MAR-10
4000951;"Vilniaus lopšelio-darželio „Pumpurėlis“ ikimokyklinio ir priešmokyklinio ugdymo aplinkos gerinimas";Y;N;04-MAR-10;04-MAR-10
4000952;"Ikimokyklinio ugdymo įstaigos Vilniaus lopšelio-darželio „Atžalėlės“ modernizavimas";Y;N;04-MAR-10;04-MAR-10
4000953;"Vilniaus lopšelio-darželio „Medynėlis“ patalpų modernizavimas";Y;N;04-MAR-10;04-MAR-10
4000954;"Ikimokyklinio ugdymo ir priešmokyklinio ugdymo grupių erdvių modernizavimas  lopšelyje-darželyje „Aušrelė“";Y;N;04-MAR-10;04-MAR-10
4000955;"Lopšelio-darželio „Švelnukas“ erdvių renovavimas ir grupių įrangos modernizavimas";Y;N;04-MAR-10;04-MAR-10
4000956;"Energijos efektyvumo didinimas Vilniaus „Minties“ gimnazijoje";Y;N;04-MAR-10;04-MAR-10
4000957;"Vilniaus „Spindulio“ pagrindinės mokyklos pastato Vilniuje, R. Jankausko g. 17, renovacija";Y;N;04-MAR-10;04-MAR-10
4000958;"Vilniaus Gabijos gimnazijos pastato Vilniuje, Pašilaičių g. 13, renovacija";Y;N;04-MAR-10;04-MAR-10
4000959;"Vilniaus „Ąžuolyno“ pagrindinės mokyklos pastato Vilniuje, Architektų g. 68, energijos vartojimo efektyvumo didinimas";Y;N;04-MAR-10;04-MAR-10
4000960;"Vilniaus Mykolo Biržiškos gimnazijos pastato Vilniuje, Taikos g. 81, rekonstravimas";Y;N;04-MAR-10;04-MAR-10
4000961;"Vilniaus Jono Basanavičiaus gimnazijos (Vingio vidurinės mokyklos) pastato renovacija";Y;N;04-MAR-10;15-DEC-10
4000962;"Energijos vartojimo efektyvumo didinimas Vilniaus Pranciškaus Skorinos vidurinėje mokykloje";Y;N;04-MAR-10;04-MAR-10
4000963;"Vilniaus Senamiesčio vidurinės mokyklos pastato  renovacija";Y;N;04-MAR-10;04-MAR-10
4000964;"Energijos vartojimo efektyvumo didinimas Vilniaus Liepkalnio pagrindinėje mokykloje";Y;N;04-MAR-10;04-MAR-10
4000965;"Energijos vartojimo efektyvumo didinimas Vilniaus Baltupių vidurinėje mokykloje";Y;N;05-MAY-10;05-MAY-10
4000966;"Energijos vartojimo efektyvumo didinimas Vilniaus Joachimo Lelevelio vidurinėje mokykloje";Y;N;21-MAY-10;21-MAY-10
4000967;"Vilniaus Šv. Kristoforo progimnazijos pastato Vilniuje, Kalvarijų g. 87, rekonstravimas (ES lėšos) (buvusi Šv. Kristoforo pagrindinė mokykla)";Y;N;24-MAR-11;22-FEB-12
4000968;"Vilniaus Radvilų gimnazijos pastato rekonstravimas";Y;N;24-MAR-11;24-MAR-11
4000969;"Vilniaus „Atgajos“ specialiosios mokyklos pastato rekonstravimas";Y;N;23-MAR-11;23-MAR-11
4000970;"Vilniaus kultūros centro išlaikymas";Y;N;12-AUG-10;05-JAN-11
4000971;"Vilniaus kultūros centro išlaikymas (01K2)";Y;N;30-JAN-17;30-JAN-17
4000975;"Vilniaus Ozo gimnazijos sporto skyriaus išlaikymui";Y;N;30-NOV-16;30-NOV-16
4000976;"Pedagogų darbo apmokėjimo sąlygoms gerinti vidurinio tipo švietimo įstaigose";Y;N;30-MAR-17;30-MAR-17
4000977;"Pedagogų darbo apmokėjimo sąlygoms gerinti vidurinio tipo švietimo įstaigose ikimokyklinėse švietimo įstaigose";Y;N;30-MAR-17;30-MAR-17
4000978;"Pedagogų darbo apmokėjimo sąlygoms gerinti pagrindinėse mokyklose";Y;N;30-MAR-17;30-MAR-17
4000980;"Įstaigos perimtos iš Vilniaus apskrities viršininko administracijos";Y;N;20-JUL-10;20-JUL-10
4000981;"Pagrindinio ugdymo įstaigų skolų dengimas (savarankiškos įstaigos)";Y;N;09-FEB-15;09-FEB-15
4000982;"Pagrindinio ugdymo įstaigų skolų dengimas";Y;N;09-FEB-15;09-FEB-15
4000984;"Centralizuota sąmata";Y;N;27-AUG-20;27-AUG-20
4000986;"Vidurinio ugdymo įstaigų skolų dengimas (savarankiškos įstaigos)";Y;N;09-FEB-15;09-FEB-15
4000987;"Vidurinio ugdymo įstaigų skolų dengimas";Y;N;09-FEB-15;09-FEB-15
4000988;"Vilniaus Fabijoniškių mokyklos pastato Vilniuje, P. Žadeikos g. 2, rekonstravimas (Kiti fondai)";Y;N;25-FEB-16;25-FEB-16
4000989;"Vilniaus Fabijoniškių mokyklos pastato Vilniuje, P. Žadeikos g. 2, rekonstravimas (SB)";Y;N;02-MAY-16;02-MAY-16
4000990;"Ugdymo programos įgyvendinimo atitikties akreditavimas";Y;N;21-APR-10;21-APR-10
4000991;"Remonto darbai ikimokyklinio ugdymo įstaigose";Y;N;14-MAY-18;14-MAY-18
4000992;"Remonto darbai pagrindinio ugdymo įstaigose";Y;N;14-MAY-18;14-MAY-18
4000993;"Remonto darbai pradinio ugdymo įstaigose";Y;N;14-MAY-18;14-MAY-18
4000994;"Remonto darbai bendrojo lavinimo įstaigose";Y;N;14-MAY-18;14-MAY-18
4000995;"Remonto darbai neformalaus ugdymo įstaigose";Y;N;14-MAY-18;14-MAY-18
4000996;"Verkių mokyklos-daugiafunkcinio centro Dienos socialinės globos skyriaus patalpų remontas ir atnaujinimas";Y;N;07-NOV-18;07-NOV-18
4000997;"Remonto darbai bendrojo lavinimo įstaigose (28 šalt.)";Y;N;31-DEC-18;31-DEC-18
4000998;"Vilniaus Žirmūnų gimnazijos pastato rekonstravimas";Y;N;24-MAR-11;24-MAR-11
4000999;"Vilniaus Fabijoniškių vidurinės mokyklos pastato rekonstravimas";Y;N;23-MAR-11;23-MAR-11
4001000;"Vilniaus ,,Čiauškutis“ lopšelio-darželio ugdomosios aplinkos modernizavimas";Y;N;19-FEB-10;19-FEB-10
4001001;"Vilniaus ,,Žilvinėlio“ lopšelio-darželio ugdomosios aplinkos modernizavimas";Y;N;19-FEB-10;19-FEB-10
4001002;"Darželio vidaus patalpų modernizavimas ir įrangos atnaujinimas (Vilniaus lopšelis-darželis ,,Strazdelis“)";Y;N;19-FEB-10;19-FEB-10
4001003;"Vilniaus lopšelio-darželio ,,Daigelis“ modernizavimas ir pritaikymas įvairius poreikius turinčių vaikų ugdymui ir visuomenės švietimui";Y;N;19-FEB-10;19-FEB-10
4001004;"Vilniaus lopšelio-darželio ,,Beržynėlis“ patalpų ir įrangos atnaujinimas";Y;N;19-FEB-10;19-FEB-10
4001005;"Vilniaus lopšelio-darželio ,,Vaidilutė“ patalpų ir įrangos atnaujinimas";Y;N;19-FEB-10;19-FEB-10
4001006;"Vilniaus lopšelio-darželio ,,Krivūlė“ modernizavimas";Y;N;19-FEB-10;19-FEB-10
4001007;"Vilniaus lopšelio-darželio ,,Pelėda“ metodinės ir ugdomosios aplinkos modernizavimas";Y;N;19-FEB-10;19-FEB-10
4001008;"Vilniaus lopšelio-darželio ,,Coliukė“ vidaus aplinkos modernizavimas ir pritaikymas įvairių ugdymo poreikių vaikams nuo gimimo iki 7 metų";Y;N;19-FEB-10;19-FEB-10
4001009;"Ikimokyklinio ugdymo įstaigos Vilniaus lopšelio-darželio ,,Vieversys“ modernizavimas";Y;N;19-FEB-10;19-FEB-10
4001010;"Vilniaus lopšelio-darželio ,,Gelynas“ ugdymo patalpų modernizavimas";Y;N;19-FEB-10;19-FEB-10
4001011;"Vilniaus lopšelio-darželio ,,Pumpurėlis“ ikimokyklinio ir priešmokyklinio ugdymo aplinkos gerinimas";Y;N;19-FEB-10;19-FEB-10
4001012;"Vilniaus lopšelio-darželio ,,Atžalėlės“ modernizavimas";Y;N;19-FEB-10;19-FEB-10
4001013;"Vilniaus lopšelio-darželio ,,Medynėlis“ patalpų modernizavimas";Y;N;19-FEB-10;19-FEB-10
4001014;"Ikimokyklinio ugdymo ir priešmokyklinio ugdymo grupių erdvių modernizavimas lopšelyje-darželyje ,,Aušrelė“";Y;N;19-FEB-10;19-FEB-10
4001015;"Lopšelio-darželio ,,Švelnukas“ erdvių renovavimas ir grupių įrangos modernizavimas";Y;N;19-FEB-10;19-FEB-10
4001016;"Vilniaus lopšelio-darželio ,,Žolynėlis“ remontas";Y;N;19-FEB-10;19-FEB-10
4001017;"Vilniaus  lopšelio - darželio "" Puriena "" stogo remontas";Y;N;14-DEC-10;14-DEC-10
4001018;"Vilniaus lopšelio-darželio „Vaidilutė“ patalpų ir įrangos atnaujinimas (dotacija skoloms dengti)";Y;N;09-DEC-16;09-DEC-16
4001019;"Ikimokyklinio ugdymo įstaigos Bajorų kelias g. 10, Vilniuje, statyba (SB)";Y;N;02-MAR-18;02-MAR-18
4001020;"Ikimokyklinio ir priešmokyklinio ugdymo prieinamumo didinimas „Gabijėlė“ lopšelis-darželis (13 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001021;"Ikimokyklinio ir priešmokyklinio ugdymo prieinamumo didinimas „Atžalėlės“ lopšelis-darželis (13 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001022;"Ikimokyklinio ir priešmokyklinio ugdymo prieinamumo didinimas „Medynėlis“ lopšelis-darželis (13 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001023;"Ikimokyklinio ir priešmokyklinio ugdymo prieinamumo didinimas „Gintarėlis“ lopšelis-darželis (13 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001024;"Vilniaus Balsių progimnazijos, Bubilo g., išplėtimas (13 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001025;"Vilniaus Balsių progimnazijos, Bubilo g., išplėtimas (66 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001026;"Vilniaus Balsių progimnazijos, Bubilo g., išplėtimas (28 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001027;"Vilniaus Joachimo Lelevelio inžinerijos gimnazijos Vilniuje, Minties g. 3, priestato statyba";Y;N;14-FEB-20;14-FEB-20
4001028;"Vilniaus Lazdynų mokyklos (adresu Žėručio g. 4, Vilnius) efektyvumo didinimas, vidaus remonto darbų įsigijimas (69 šalt.)";Y;N;14-FEB-20;12-FEB-21
4001029;"Vilniaus Genio progimnazijos (adresu Lukiškių skg. 5, Vilnius) efektyvumo didinimas, vidaus remonto darbų įsigijimo II etapas (69 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001030;"Vilniaus Sofijos Kovalevskajos gimnazijos/progimnazijos (adresu Dūkštų g. 30, Vilnius) efektyvumo didinimas, vidaus remonto darbų įsigijimas (69 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001031;"Justino Vienožinskio dailės mokyklos (adresu S. Konarskio g. 37, Vilnius) techninio projekto parengimas ir statinio projekto vykdymo priežiūra (69 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001032;"Vilniaus Vladislavo Sirokomlės gimnazijos pastato modernizavimas (13 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001033;"Justino Vienožinskio dailės mokyklos (adresu S. Konarskio g. 37, Vilnius) techninio projekto parengimas ir statinio projekto vykdymo (13 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001034;"Vilniaus Gabijos gimnazijos plėtra (13 šalt.)";Y;N;14-FEB-20;14-FEB-20
4001035;"Vilniaus Balsių progimnazijos, Bubilo g., išplėtimas (2M18 šalt.)";Y;N;02-JUN-20;02-JUN-20
4001036;"Vilniaus Vladislavo Sirokomlės gimnazijos pastato modernizavimas (2M18 šalt.)";Y;N;02-JUN-20;02-JUN-20
4001037;"Vilniaus Joachimo Lelevelio inžinerijos gimnazijos Vilniuje, Minties g. 3, priestato statyba (2M18 šalt.)";Y;N;02-JUN-20;02-JUN-20
4001038;"Vilniaus Vytauto Didžiojo gimnazijos pastato Vilniuje, Augustijonų g. 8/10, remonto projekto korektūra (2M18 šalt.)";Y;N;02-JUN-20;06-OCT-20
4001039;"Vilniaus Senvages gimnazijos pastato Vilniuje, Širvintų g. 80, atnaujinimas (2M18 šalt.)";Y;N;02-JUN-20;02-JUN-20
4001040;"Vilniaus Vytauto Didžiojo gimnazijos pastato Vilniuje, Augustijonų g. 8/10, remonto projekto korektūra (01 šalt.)";Y;N;02-JUN-20;02-JUN-20
4001041;"Vilniaus Senvages gimnazijos pastato Vilniuje, Širvintų g. 80, atnaujinimas (01 šalt.)";Y;N;02-JUN-20;02-JUN-20
4001042;"Šiuolaikinės etnokulturinės aplinkos kūrimas Vilniaus Pranciškaus Skorinos gimnazijoje (01 šalt.)";Y;N;02-JUN-20;02-JUN-20
4001043;"Vilniaus Vladislavo Sirokomlės gimnazijos pastato remonto darbai (28 š.)";Y;N;27-NOV-20;27-NOV-20
4001044;"Vilniaus Sofijos Kovalevskajos gimnazijos/progimnazijos (adresu Dūkštų g. 30, Vilnius) efektyvumo didinimas, vidaus remonto darbų įsigijimas (13 šalt.)";Y;N;08-FEB-21;08-FEB-21
4001045;"Vilniaus Sofijos Kovalevskajos gimnazijos/progimnazijos (adresu Dūkštų g. 30, Vilnius) efektyvumo didinimas, vidaus remonto darbų įsigijimas (VB dotacijos)";Y;N;08-FEB-21;08-FEB-21
4001046;"Vilniaus Lazdynų mokyklos (adresu Žėručio g. 4, Vilnius) efektyvumo didinimas, vidaus remonto darbų įsigijimas (13 šalt.)";Y;N;12-FEB-21;12-FEB-21
4001100;"Vilniaus Filaretų pradinės mokyklos remontas";Y;N;19-FEB-10;19-FEB-10
4001101;"Vilniaus Šeškinės pradinė mokykla, Šeškinės g. 15, Vilnius (modernizavimas, VIP lėšos)";Y;N;15-SEP-17;15-SEP-17
4001102;"Vilniaus Šeškinės pradinė mokykla, Šeškinės g. 15, Vilnius (modernizavimas, kitos lėšos)";Y;N;15-SEP-17;15-SEP-17
4001103;"Vilniaus Antakalnio gimnazija, Antakalnio g. 29, Vilnius";Y;N;15-SEP-17;15-SEP-17
4001104;"Vilniaus Antakalnio gimnazija, Antakalnio g. 29, Vilnius";Y;N;15-SEP-17;15-SEP-17
4001105;"Vilniaus Sausio 13 – osios mokykla, Architektų g. 166, Vilnius";Y;N;15-SEP-17;15-SEP-17
4001106;"Vilniaus Sausio 13 – osios mokykla, Architektų g. 166, Vilnius";Y;N;15-SEP-17;15-SEP-17
4001107;"Vilniaus Abraomo Kulviečio klasikinė gimnazija, Gedvydžių g. 8, Vilnius";Y;N;15-SEP-17;15-SEP-17
4001108;"Vilniaus Abraomo Kulviečio klasikinė gimnazija, Gedvydžių g. 8, Vilnius";Y;N;15-SEP-17;15-SEP-17
4001109;"Vilniaus „Vilnios“ pagrindinė mokykla, Palydovo g. 29 A, Vilnius";Y;N;15-SEP-17;15-SEP-17
4001110;"Vilniaus „Vilnios“ pagrindinė mokykla, Palydovo g. 29 A, Vilnius";Y;N;15-SEP-17;15-SEP-17
4001111;"Vilniaus Genio progimnazijos pastato Lukiškių skg. 5, Vilnius (modernizavimas, VIP lėšos)";Y;N;29-MAY-18;29-MAY-18
4001112;"Vilniaus Ateities mokyklos pastato atnaujinimo darbai (modernizavimas, VIP lėšos)";Y;N;29-MAY-18;29-MAY-18
4001150;"Mokymo lėšos skaitmeninio ugdymo plėtrai bendrojo ugdymo įstaigoms";Y;N;09-OCT-20;09-OCT-20
4001151;"Mokymo lėšos skaitmeninio ugdymo plėtrai pagrindinio ugdymo įstaigoms";Y;N;09-OCT-20;09-OCT-20
4001152;"Mokymo lėšos skaitmeninio ugdymo plėtrai nevalstybinėms ikimokyklinio ugdymo įstaigoms";Y;N;03-NOV-20;03-NOV-20
4001155;"Mokymo lėšos skaitmeninio ugdymo plėtrai pradinėms mokykloms";Y;N;09-OCT-20;09-OCT-20
4001160;"Mokymo lėšos skaitmeninio ugdymo plėtrai nevalstybinėms bendrojo ugdymo įstaigoms";Y;N;09-OCT-20;09-OCT-20
4001161;"Mokymo lėšos skaitmeninio ugdymo plėtrai nevalstybinėms pagrindinio ugdymo įstaigoms";Y;N;09-OCT-20;09-OCT-20
4001162;"Mokymo lėšos skaitmeninio ugdymo plėtrai nevalstybinėms pradinio ugdymo įstaigoms";Y;N;09-OCT-20;20-JAN-21
4001183;"Konsultacijos abiturientams, pasirinkusiems laikyti brandos egzaminus ir dėl COVID-19 patyrusių mokymosi praradimų, bendrojo ugdymo įstaigose";Y;N;26-APR-21;26-APR-21
4001184;"Konsultacijos abiturientams, pasirinkusiems laikyti brandos egzaminus ir dėl COVID-19 patyrusių mokymosi praradimų, nevalstybinėse bendrojo ugdymo įstaigose";Y;N;26-APR-21;26-APR-21
4001185;"Konsultacijos abiturientams, pasirinkusiems laikyti brandos egzaminus ir dėl COVID-19 patyrusių mokymosi praradimų (centralizuota sąmata)";Y;N;26-APR-21;26-APR-21
4001186;"Konsultacijos mokiniams, patiriantiems mokymosi sunkumų, centralizuota sąmata";Y;N;23-MAR-21;23-MAR-21
4001187;"Konsultacijos mokiniams, patiriantiems mokymosi sunkumų pradinio ugdymo įstaigose";Y;N;23-MAR-21;23-MAR-21
4001188;"Konsultacijos mokiniams, patiriantiems mokymosi sunkumų nevalstybinėse pradinio ugdymo įstaigose";Y;N;23-MAR-21;23-MAR-21
4001189;"Visuomenės psichikos sveikatos neigiamoms COVID-19 pandemijos pasekmėms mažinti ikimokyklinio ugdymo įstaigose";Y;N;23-SEP-20;23-SEP-20
4001190;"Visuomenės psichikos sveikatos neigiamoms COVID-19 pandemijos pasekmėms mažinti pradinio ugdymo įstaigose";Y;N;23-SEP-20;23-SEP-20
4001191;"Visuomenės psichikos sveikatos neigiamoms COVID-19 pandemijos pasekmėms mažinti pagrindinio ugdymo įstaigose";Y;N;23-SEP-20;23-SEP-20
4001192;"Visuomenės psichikos sveikatos neigiamoms COVID-19 pandemijos pasekmėms mažinti bendrojo ugdymo įstaigose";Y;N;23-SEP-20;23-SEP-20
4001193;"Vilniaus Šilo specialiosios mokyklos konsultacinių paslaugų teikimo programa";Y;N;23-SEP-20;23-SEP-20
4001194;"Valstybės dotacija Vilniaus „Šaltinio“ pagrindinės mokyklos veiklai užtikrinti";Y;N;11-SEP-20;11-SEP-20
4001195;"Valstybės dotacija išlaidoms, susijusioms su LVJC veikla";Y;N;11-SEP-20;11-SEP-20
4001196;"Išlaidoms, susijusioms su mokytojų skaičiaus optimizavimu ikimokyklinio ugdymo įstaigose";Y;N;27-AUG-20;27-AUG-20
4001197;"Išlaidoms, susijusioms su mokytojų skaičiaus optimizavimu pradinio ugdymo įstaigose";Y;N;27-AUG-20;27-AUG-20
4001198;"Išlaidoms, susijusioms su mokytojų skaičiaus optimizavimu pagrindinio ugdymo įstaigose";Y;N;27-AUG-20;27-AUG-20
4001199;"Išlaidoms, susijusioms su mokytojų skaičiaus optimizavimu bendrojo ugdymo įstaigose";Y;N;27-AUG-20;27-AUG-20
4001200;"Vilniaus Karoliniškių gimnazijos pastato Vilniuje, Sausio 13-osios g.17, rekonstravimas (ES)";Y;N;19-FEB-10;19-FEB-10
