Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
1000780	1000780	Nenaudojama				.....	
1000790	1000790	Nenaudojama				.....	
1000800	1000800	Nenaudojama				.....	
1000810	1000810	Nenaudojama				.....	
1000820	1000820	Nenaudojama				.....	
1000830	1000830	Nenaudojama				.....	
1000840	1000840	Nenaudojama				.....	
1000850	1000850	Nenaudojama				.....	
1000860	1000860	Nenaudojama				.....	
1000870	1000870	Nenaudojama				.....	
1000880	1000880	Nenaudojama				.....	
1000890	1000890	Nenaudojama				.....	
1000900	1000900	Nenaudojama				.....	
1010001	1010001	Civilinës metrikacijos skyrius	*			.....	
1010002	1010002	Poilsio namai "Jûros vilnis"	*			.....	
1010003	1010003	Administracija	*			.....	
1010007	1010007	Fabijoniðkiø seniûnija	*			.....	
1010010	1010010	Rasø seniûnija	*			.....	
1010020	1010020	Lazdynø turgavietës eksploatavimas	*			.....	
1010501	1010501	Kompiuterinë technika ir orgtechnika	*			.....	
1010502	1010502	Geografinës informacijos sistemø integracija	*			.....	
1010503	1010503	Elektroninio bilieto vieðajame transporte ir keleiviø informavimo sistemos sukûrimas	*			.....	
1010504	1010504	Elektroninio ðvietimo sistemos diegimas	*			.....	
1010505	1010505	Elektroninës sveikatos informacinë sistema	*			.....	
1010506	1010506	Finansø valdymo ir apskaitos sistema	*			.....	
1010519	1010519	Pastato V. A. Graièiûno g. 20, Vilniuje, remontas (Privatizavimo fondas)	*			.....	
1010520	1010520	Archyviniø dokumentø saugojimas (Privatizavimo fondas)	*			.....	
1010521	1010521	Savivaldybës turto privatizavimo funkcijø vykdymas (Ekonomikos ir investicijø departamentas) 	*			.....	
1010522	1010522	Bendruomenës centrø steigimas Vilniaus miesto savivaldybës administracijos seniûnijose (Grigiðkiø seniûnija)	*			.....	
1010523	1010523	Bendruomenës centrø steigimas Vilniaus miesto savivaldybës administracijos seniûnijose (Naujininkø seniûnija)	*			.....	
1010524	1010524	Bendruomenës centrø steigimas Vilniaus miesto savivaldybës administracijos seniûnijose (Naujosios Vilnios seniûnija)	*			.....	
1010525	1010525	Bendruomenës centrø steigimas Vilniaus miesto savivaldybës administracijos seniûnijose (Paneriø seniûnija)	*			.....	
1010526	1010526	Bendruomenës centrø steigimas Vilniaus miesto savivaldybës administracijos seniûnijose (Pavilnio bendruomenës savivaldija)	*			.....	
1010527	1010527	Bendruomenës centrø steigimas Vilniaus miesto savivaldybës administracijos seniûnijose (Pilaitës seniûnija)	*			.....	
1010528	1010528	Bendruomenës centrø steigimas Vilniaus miesto savivaldybës administracijos seniûnijose (Ðeðkinës seniûnija)	*			.....	
1010529	1010529	Bendruomenës centrø steigimas Vilniaus miesto savivaldybës administracijos seniûnijose (Verkiø seniûnija)	*			.....	
1010530	1010530	Bendruomenës centrø steigimas Vilniaus miesto savivaldybës administracijos seniûnijose (Þvëryno seniûnija)	*			.....	
1010531	1010531	Bendruomenës centrø steigimas seniûnijose (Lazdynø seniûnija)	*			.....	
1010541	1010541	Elektroninës sveikatos informacinë sistema	*			.....	
1010542	1010542	Elektroninio ðvietimo sistemos diegimas	*			.....	
1010543	1010543	Kompiuterinë áranga ir orgtechnika (skolintos )	*			.....	
1010544	1010544	Elektroninio bilieto vieðajame transporte ir keleiviø informavimo sistemos sukûrimas	*			.....	
1010545	1010545	Aplinkos apsaugos optimizavimas elektroninëmis priemonëmis	*			.....	
1010546	1010546	Finansø valdymo ir apskaitos sistema	*			.....	
1010547	1010547	Nenaudojama				.....	
1010551	1010551	Fabijoniðkiø seniûnija (gyvûnø laikymo lëðos)	*			.....	
1010552	1010552	Rasø seniûnija (gyvûnø laikymo lëðos)	*			.....	
1010553	1010553	Verkiø seniûnija (gyvûnø laikymo lëðos)	*			.....	
1010554	1010554	Þirmûnø seniûnija (gyvûnø laikymo lëðos)	*			.....	
1010561	1010561	Karoliniðkiø seniûnija (Parama)	*			.....	
1010562	1010562	Fabijoniðkiø seniûnija (Parama)	*			.....	
1010563	1010563	Grigiðkiø seniûnija (Parama)	*			.....	
1010564	1010564	Lazdynø seniûnija (Parama)	*			.....	
1010565	1010565	Naujininkø seniûnija (Parama)	*			.....	
1010566	1010566	Pilaitës seniûnija (Parama)	*			.....	
1010567	1010567	Ðeðkinës seniûnija (Parama)	*			.....	
1010568	1010568	Ðnipiðkiø seniûnija (Parama)	*			.....	
1010569	1010569	Vilkpëdës seniûnija (Parama)	*			.....	
1010570	1010570	Virðuliðkiø seniûnija (Parama)	*			.....	
1010571	1010571	Verkiø seniûnija (Parama)	*			.....	
1010572	1010572	Þvëryno seniûnija (Parama)	*			.....	
1010573	1010573	Uþsienio ryðiø skyrius (parama)	*			.....	
1010581	1010581	Kitos seniûnijø lëðos	*			.....	
1010591	1010591	Uþ butus gràþinamas paskola	*			...Taip..	
1010592	1010592	Kitos iðlaidos (konkurso lëðos, deponentai)	*			.....	
1010600	1010600	ES projektas/ 0037	*			.....	
1010601	1010601	Elektroninio bilieto vieðajame transporte ir keleiviø informavimo sistemos sukûrimas	*			.....	
1010602	1010602	Elektroniniø priemoniø skirtø gyventojams dalyvauti sprendimø priëmime sukûrimas ir ádiegimas (E. demokratija)	*			.....	
1010603	1010603	Vilniaus miesto savivaldybës dirbanèiøjø kvalifikacijos tobulinimas	*			.....	
1010604	1010604	Vilniaus miesto savivaldybës administracijos darbuotojø gebëjimø tobulinimas diegiant ir plëtojant informaciniø technologijø panaudojimà vieðajame sektoriuje	*			.....	
1010605	1010605	Vilniaus miesto savivaldybës administracijos tipiniø veiklos procesø ir procedûrø visapusiðkas tyrimas ir optimizavimas	*			.....	
1010606	1010606	Kompleksinis paslaugø teikimo „vieno langelio“ principu  tobulinimas	*			.....	
1010607	1010607	Dalyvauti ES  lëðomis finansuojamame projekte „BaltMet Promo“	*			.....	
1010608	1010608	Mindaugo vidurinës mokyklos uþterðtos teritorijos sutvarkymas	*			.....	
1010609	1010609	Vilniaus miesto savivaldybës darbuotojø kvalifikacijos tobulinimas	*			.....	
1010610	1010610	Elektroniniø priemoniø skirtø gyventojams dalyvauti sprendimø priëmime sukûrimas ir ádiegimas (E. demokratija)	*			.....	
1010611	1010611	Vilniaus miesto savivaldybës darbuotojø administraciniø gebëjimø stiprinimas (ES)	*			.....	
1010612	1010612	Projekto „Jaunimas mieste-Jaunimas miestui“  ágyvendinimas (ES lëðos)	*			.....	
1010613	1010613	Tarptautinio projekto „CityLogo“ pagal URBACT II programà ágyvendinimas (ES lëðos)	*			.....	
1100001	1100001	Teismo, antstoliø, notarø paslaugoms ir skelbimams spaudoje  apmokëti	*			.....	
1100002	1100002	Vilniaus miesto 2010-2020 metø strateginio plano parengimas	*			.....	
1100003	1100003	Finansø valdymo ir apskaitos sistemos diegimo plëtra ir analizës paslaugos - II etapas	*			.....	
1100004	1100004	Jurgio Maèiûno meno kolekcijai ið dalies apmokëti	*			.....	
1100005	1100005	Finansø departamento funkcijoms vykdyti (ið SB lëðø)	*			.....	
1100006	1100006	Finansiniams ásipareigojimams vykdyti	*			.....	
1100007	1100007	Vieðøjø pirkimø, teismo, notarø ir programinës árangos prieþiûros iðlaidoms Mokesèiø skyriaus funkcijoms vykdyti	*			.....	
1100100	1100100	Vilniaus miesto 2010-2020 metø strateginio plano parengimas (ES)	*			.....	
1100500	1100500	Administracijos direktoriaus 2012-05-04 ásakymas Nr. 30-899, 3 p.	*			.....	
1300170	1300170	Paskolø mokëjimas pagal grafikà (1.2.1)	*			.....	
1300171	1300171	Paskolø ir palûkanø mokëjimas pagal grafikà (tarpusavio atsiskaitymai)	*			.....	
1300172	1300172	Paskolø mokëjimas pagal grafikà (skolintos lëðos)	*			.....	
1300173	1300173	Paskolø  mokëjimas pagal grafikà (Lëðø likuèiai ið SB lëðø )	*			.....	
1300180	1300180	Palûkanø mokëjimas pagal grafikà (1.2.2)	*			.....	
1500001	1500001	Kompiuteriø ir duomenø apdorojimo tarnybø paslaugos ("KIS Savivaldybë")	*			.....	
1500002	1500002	Vilniaus miesto savivaldybës administracijos tipiniø veiklos procesø ir procedûrø visapusiðkas tyrimas ir optimizavimas	*			.....	
1500003	1500003	Kompleksinis paslaugø teikimo „vieno langelio“ principu  tobulinimas	*			.....	
1500004	1500004	Finansø valdymo ir apskaitos sistema	*			.....	
1500005	1500005	Vieðosios ástaigos „Startup Monthly Vilnius“  veiklos vykdymas (AD 2012-03-13 ásakymas Nr. 30-525)	*			.....	
1500006	1500006	Vilniaus miesto kartografiniø duomenø baziø kûrimas ir palaikymas	*			.....	
1500007	1500007	Vilniaus teritorijø planavimo ir statybø duomenø banko kûrimas ir palaikymas GIS pagrindu	*			.....	
1500008	1500008	Geografiniø informaciniø sistemø palaikymas ir plëtra	*			.....	
1500009	1500009	Iðlaidø, patirtø pritaikant informacines sistemas euro ávedimui, kompensacija	*			.....	
1500010	1500010	Finansø valdymo ir apskaitos sistema (ið SB likuèiø)	*			.....	
1500011	1500011	Vilniaus miesto kartografiniø duomenø baziø kûrimas ir palaikymas (ið SB likuèiø)	*			.....	
1500012	1500012	Vilniaus teritorijø planavimo ir statybø duomenø banko kûrimas ir palaikymas GIS pagrindu (ið SB likuèiø)	*			.....	
1500013	1500013	Geografiniø informaciniø sistemø palaikymas ir plëtra (ið SB likuèiø)	*			.....	
1500075	1500075	Elektroniniø paslaugø sistemos diegimas ir plëtra Vilniaus regione	*			.....	
1500084	1500084	Elektroninio ðvietimo sistemos diegimas	*			.....	
1500090	1500090	Programinës árangos, skirtos vietinës rinkliavos (uþ atliekø tvarkymà ir surinkimà) apskaitai ir administravimui, ásigijimas (SB)	*			.....	
1500101	1500101	Elektroniniø priemoniø skirtø gyventojams dalyvauti sprendimø priëmime sukûrimas ir ádiegimas (E. demokratija)				.....	
1500102	1500102	Elektroniniø priemoniø skirtø gyventojams dalyvauti sprendimø priëmime sukûrimas ir ádiegimas (E. demokratija)	*			.....	
1500201	1500201	Elektroniniø priemoniø skirtø gyventojams dalyvauti sprendimø priëmime sukûrimas ir ádiegimas (E. demokratija)	*			.....	
1500301	1500301	Aplinkos apsaugos optimizavimas elektroninëmis priemonëmis	*			.....	
1500302	1500302	Finansø valdymo ir apskaitos sistema (Skolintos lëðos)	*			.....	
1500401	1500401	Elektroninio ðvietimo sistemos diegimas	*			.....	
1500402	1500402	Elektroninës sveikatos informacinë sistema	*			.....	
1600001	1600001	Nusikaltimø ir kitø teisës paþeidimø prevenciniø priemoniø ágyvendinimas	*			.....	
1600002	1600002	Vaizdo kamerø transliuojamo vaizdo stebëjimo uþtikrinimas	*			.....	
1600003	1600003	Vieðosios tvarkos uþtikrinimas (AD 2012-05-18 ásakymas Nr. 30-969)	*			.....	
1600004	1600004	Projekto „Lietuvos ðeðëlio þemëlapis“ ágyvendinimas (AD 2012-12-20 ásakymas Nr. 30-2553)	*			.....	
1600005	1600005	Nusikaltimø ir kitø teisës paþeidimø prevenciniø priemoniø ágyvendinimas (ið SB likuèiø)	*			.....	
1600006	1600006	Dalyvavimas uþtikrinant vieðàjà tvarkà ir gyventojø rimtá	*			.....	
1600007	1600007	Galimø ekstremaliøjø situacijø padariniø likvidavimas (AARSP)	*			.....	
1600008	1600008	Galimø ekologiniø situacijø, avarijø ir ávykiø padariniø likvidavimas (ið AARSP likuèiø)	*			.....	
1600009	1600009	Gyvsidabrio atliekø iðveþimas ir utilizavimas (ið AARSP likuèiø)	*			.....	
1600101	1600101	Nusikaltimø ir kitø teisës paþeidimø prevenciniø priemoniø ágyvendinimas (Privatizavimo fondas)	*			.....	
1800001	1800001	Bendrosios dotacijos kompensacija valstybës biudþetui	*			.....	
1800002	1800002	Administracijos direktoriaus rezervo sàmata	*			.....	
1800003	1800003	Kitoms savivaldybëms perduotos mokinio krepðelio lëðos	*			.....	
1B00004	1B00004	Civilinës bûklës aktø registravimas	*			...Ne.Ne.	
1B00005	1B00005	Valstybës garantijø nuomininkams, iðsikeliantiems ið savininkams gràþintø gyvenamøjø namø ar jø daliø ir butø, vykdymas	*			...Ne.Ne.	
1B00006	1B00006	Nuosavybës teisiø atkûrimo sprendimø priëmimas	*			...Ne.Ne.	
1B00007	1B00007	Gyventojø gyvenamosios vietos deklaravimo duomenø ir gyvenamosios vietos neturinèiø asmenø apskaitos duomenø tvarkymas	*			...Ne.Ne.	
1B00008	1B00008	Valstybinës kalbos prieþiûra	*			...Ne.Ne.	
1B00009	1B00009	Valstybës archyvø irregistrø iðlaikymas bei saugojimas	*			...Ne.Ne.	
1B00010	1B00010	Savivaldos institucijos (Tarybos sekretoriatas)	*			...Ne.Ne.	
1B00011	1B00011	Karo prievolës ir mobilizacijos administravimas savivaldybëse	*			...Ne.Ne.	
1B00014	1B00014	Bendri darbo reikalai, darbo politikos formavimas ir ágyvendinimas (Vieðieji darbai)	*			...Ne.Ne.	
