Reikðmë	Iðversta reikðmë	Apraðas	Ájungtas	Nuo	Iki	[  ]	
04.05.04.	04.05.04.	Oro transportas (BP)	*			.	
04.05.04.01.	04.05.04.01.	Avarijø ir incidentø civilinëje aviacijoje tyrimas	*			.	
04.05.04.02.	04.05.04.02.	Aviacinio saugumo priemoniø ágyvendinimas	*			.	
04.05.04.09.	04.05.04.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.272.	
04.05.05.	04.05.05.	Vamzdynai ir kitas transportas (BP)	*			.	
04.05.05.01.	04.05.05.01.	Reikalø ir paslaugø, susijusiø su vamzdynø ir kitø transporto sistemø valdymu, naudojimu, statyba ir technine prieþiûra, administravimas	*			.	
04.05.05.09.	04.05.05.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.275.	
04.06.	04.06.	Ryðiai	*			.	
04.06.01.	04.06.01.	Ryðiai (BP)	*			.	
04.06.01.01.	04.06.01.01.	Ryðiø valdymas ir kontrolë	*			.	
04.06.01.03.	04.06.01.03.	Universaliø paðto paslaugø nuostoliø dengimas	*			.	
04.06.01.09.	04.06.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.280.	
04.07.	04.07.	Kita ekonominë veikla	*			.	
04.07.01.	04.07.01.	Skirstomoji prekyba, prekiø laikymas ir sandëliavimas (BP)	*			.	
04.07.01.01.	04.07.01.01.	Laboratoriniai bandymai atliekant rinkos prieþiûrà	*			.	
04.07.01.09.	04.07.01.09.	Institucijos iðlaikymas (valdymo iðlaidos)	*			.284.	
04.07.02.	04.07.02.	Vieðbuèiai ir restoranai (BP)	*			.	
04.07.02.01.	04.07.02.01.	Vieðbuèiai ir restoranai	*			.	
04.07.03.	04.07.03.	Turizmas (BP)	*			.	
